id_user;desc_ent
13;Educatio est une entreprise spécialisée dans les services de formation, d'enseignement et d'éducation spécialisée pour les étudiants et les professionnels de l'éducation. Nous sommes dévoués à aider les apprenants à atteindre leur plein potentiel et à soutenir les enseignants à être les meilleurs éducateurs possibles.
14;Ecole Dynamique est une entreprise d'éducation spécialisée dans la pédagogie active et participative. Nous proposons des programmes d'enseignement innovants qui favorisent la créativité, l'autonomie et la responsabilisation des élèves. Nos enseignants sont passionnés et dévoués à aider les élèves à atteindre leur plein potentiel.
15;EduResearch est une entreprise de recherche en éducation spécialisée dans l'étude des méthodes pédagogiques et des politiques éducatives. Nous travaillons en étroite collaboration avec les établissements d'enseignement et les gouvernements pour améliorer les systèmes éducatifs et les résultats des élèves. Nos chercheurs sont passionnés et dévoués à trouver des solutions pour améliorer l'éducation dans le monde entier.
16;EducaResearch est une entreprise de recherche en éducation spécialisée dans l'étude des politiques éducatives et des technologies de l'apprentissage. Nous travaillons en étroite collaboration avec les établissements d'enseignement, les gouvernements et les entreprises pour améliorer l'efficacité de l'apprentissage et la qualité de l'éducation. Nos chercheurs sont passionnés et dévoués à trouver des solutions pour améliorer l'éducation dans le monde entier.
17;HumanSocial est une entreprise de formation spécialisée dans les sciences humaines et sociales. Nous proposons des formations en sociologie, en psychologie sociale et en anthropologie, ainsi que des formations sur les enjeux sociétaux contemporains. Nos formatrices et formateurs sont des expert(e)s dans leur domaine, passionnés par la transmission de leur savoir et leur expérience.
18;SocioForm est une entreprise de formation spécialisée dans les sciences sociales. Nous proposons des formations en sociologie, en anthropologie, en sciences politiques et en économie sociale et solidaire. Nos formateurs et formatrices sont des expert(e)s dans leur domaine, passionné(e)s par la transmission de leur savoir et leur expérience. Nous travaillons en étroite collaboration avec les entreprises, les organisations publiques et les associations pour offrir des formations adaptées à leurs besoins.
19;SHS-Edu est une entreprise de formation spécialisée dans les sciences humaines et sociales. Nous proposons des formations en psychologie, en sociologie, en philosophie et en éducation. Nous recherchons des éducateurs(trices) spécialisé(e)s pour intervenir dans nos formations auprès des professionnels de l'éducation, de la santé et du social. Nous sommes à la recherche de personnes passionnées par leur métier, capables de transmettre leur savoir et leur expérience avec bienveillance et professionnalisme.
20;Sciences Edu est une entreprise de formation spécialisée dans les sciences humaines et sociales. Nous proposons des formations en psychologie, en sociologie, en philosophie et en éducation pour les professionnels de ces secteurs. Nous cherchons actuellement un(e) éducateur(trice) spécialisé(e) pour rejoindre notre équipe de formation. La mission principale de l'éducateur(trice) spécialisé(e) sera de concevoir et d'animer des formations pour les professionnels de l'éducation, de la santé et du social, en s'appuyant sur une solide expertise en psychologie et en éducation.
21;Sciencesup est une entreprise de recherche et de formation spécialisée dans les sciences humaines et sociales. Nous sommes actuellement à la recherche d'un(e) chargé(e) de recherche en sociologie de l'éducation pour rejoindre notre équipe de recherche. Le ou la candidate aura pour mission de mener des enquêtes sur les parcours scolaires des élèves issus de milieux défavorisés, d'analyser les processus de sélection et d'orientation dans l'enseignement supérieur, et de produire des publications scientifiques. Le/la chargé(e) de recherche travaillera en collaboration avec d'autres chercheurs et des enseignants-chercheurs pour réaliser ces projets.
22;SciHumResearch est une entreprise de recherche en sciences humaines qui se concentre sur la compréhension de l'impact des technologies numériques sur la société. Nous menons des recherches de pointe dans les domaines de la sociologie, de la psychologie, de la science politique et de la communication.
